"","cell","patient","number_batch","experiment","depletion_batch"
"PT084_P8_C03_S219","PT084_P8_C03_S219","PT084","B6","Exp1","depleted_no"
"PT084_P8_C04_S220","PT084_P8_C04_S220","PT084","B6","Exp1","depleted_no"
"PT084_P8_C05_S221","PT084_P8_C05_S221","PT084","B6","Exp1","depleted_no"
"PT084_P8_C06_S222","PT084_P8_C06_S222","PT084","B6","Exp1","depleted_no"
"PT084_P8_C07_S223","PT084_P8_C07_S223","PT084","B6","Exp1","depleted_no"
"PT084_P8_C08_S224","PT084_P8_C08_S224","PT084","B6","Exp1","depleted_no"
"PT084_P8_C09_S225","PT084_P8_C09_S225","PT084","B6","Exp1","depleted_no"
"PT084_P8_C10_S226","PT084_P8_C10_S226","PT084","B6","Exp1","depleted_no"
"PT084_P8_C11_S227","PT084_P8_C11_S227","PT084","B6","Exp1","depleted_no"
"PT084_P8_C12_S228","PT084_P8_C12_S228","PT084","B6","Exp1","depleted_no"
"PT084_P8_D01_S229","PT084_P8_D01_S229","PT084","B6","Exp1","depleted_no"
"PT084_P8_D02_S230","PT084_P8_D02_S230","PT084","B6","Exp1","depleted_no"
"PT084_P8_D03_S231","PT084_P8_D03_S231","PT084","B6","Exp1","depleted_no"
"PT084_P8_D05_S233","PT084_P8_D05_S233","PT084","B6","Exp1","depleted_no"
"PT084_P8_D06_S234","PT084_P8_D06_S234","PT084","B6","Exp1","depleted_no"
"PT084_P8_D07_S235","PT084_P8_D07_S235","PT084","B6","Exp1","depleted_no"
"PT084_P8_D08_S236","PT084_P8_D08_S236","PT084","B6","Exp1","depleted_no"
"PT084_P8_D10_S238","PT084_P8_D10_S238","PT084","B6","Exp1","depleted_no"
"PT084_P8_D11_S239","PT084_P8_D11_S239","PT084","B6","Exp1","depleted_no"
"PT084_P8_D12_S240","PT084_P8_D12_S240","PT084","B6","Exp1","depleted_no"
"PT084_P8_E01_S241","PT084_P8_E01_S241","PT084","B6","Exp1","depleted_no"
"PT084_P8_E02_S242","PT084_P8_E02_S242","PT084","B6","Exp1","depleted_no"
"PT084_P8_E03_S243","PT084_P8_E03_S243","PT084","B6","Exp1","depleted_no"
"PT084_P8_E04_S244","PT084_P8_E04_S244","PT084","B6","Exp1","depleted_no"
"PT084_P8_E05_S245","PT084_P8_E05_S245","PT084","B6","Exp1","depleted_no"
"PT084_P8_E06_S246","PT084_P8_E06_S246","PT084","B6","Exp1","depleted_no"
"PT084_P8_E07_S247","PT084_P8_E07_S247","PT084","B6","Exp1","depleted_no"
"PT084_P8_E08_S248","PT084_P8_E08_S248","PT084","B6","Exp1","depleted_no"
"PT084_P8_E09_S249","PT084_P8_E09_S249","PT084","B6","Exp1","depleted_no"
"PT084_P8_E10_S250","PT084_P8_E10_S250","PT084","B6","Exp1","depleted_no"
"PT084_P8_E11_S251","PT084_P8_E11_S251","PT084","B6","Exp1","depleted_no"
"PT084_P8_E12_S252","PT084_P8_E12_S252","PT084","B6","Exp1","depleted_no"
"PT084_P8_F01_S253","PT084_P8_F01_S253","PT084","B6","Exp1","depleted_no"
"PT084_P8_F02_S254","PT084_P8_F02_S254","PT084","B6","Exp1","depleted_no"
"PT084_P8_F05_S257","PT084_P8_F05_S257","PT084","B6","Exp1","depleted_no"
"PT084_P8_F06_S258","PT084_P8_F06_S258","PT084","B6","Exp1","depleted_no"
"PT084_P8_F07_S259","PT084_P8_F07_S259","PT084","B6","Exp1","depleted_no"
"PT084_P8_F08_S260","PT084_P8_F08_S260","PT084","B6","Exp1","depleted_no"
"PT084_P8_F09_S261","PT084_P8_F09_S261","PT084","B6","Exp1","depleted_no"
"PT084_P8_F10_S262","PT084_P8_F10_S262","PT084","B6","Exp1","depleted_no"
"PT084_P8_F11_S263","PT084_P8_F11_S263","PT084","B6","Exp1","depleted_no"
"PT084_P8_G01_S265","PT084_P8_G01_S265","PT084","B6","Exp1","depleted_no"
"PT084_P8_G02_S266","PT084_P8_G02_S266","PT084","B6","Exp1","depleted_no"
"PT084_P8_G03_S267","PT084_P8_G03_S267","PT084","B6","Exp1","depleted_no"
"PT084_P8_G05_S269","PT084_P8_G05_S269","PT084","B6","Exp1","depleted_no"
"PT084_P8_G06_S270","PT084_P8_G06_S270","PT084","B6","Exp1","depleted_no"
"PT084_P8_G07_S271","PT084_P8_G07_S271","PT084","B6","Exp1","depleted_no"
"PT084_P8_G09_S273","PT084_P8_G09_S273","PT084","B6","Exp1","depleted_no"
"PT084_P8_G10_S274","PT084_P8_G10_S274","PT084","B6","Exp1","depleted_no"
"PT084_P8_G11_S275","PT084_P8_G11_S275","PT084","B6","Exp1","depleted_no"
"PT084_P8_G12_S276","PT084_P8_G12_S276","PT084","B6","Exp1","depleted_no"
"PT084_P8_H01_S277","PT084_P8_H01_S277","PT084","B6","Exp1","depleted_no"
"PT084_P8_H02_S278","PT084_P8_H02_S278","PT084","B6","Exp1","depleted_no"
"PT084_P8_H03_S279","PT084_P8_H03_S279","PT084","B6","Exp1","depleted_no"
"PT084_P8_H04_S280","PT084_P8_H04_S280","PT084","B6","Exp1","depleted_no"
"PT084_P8_H05_S281","PT084_P8_H05_S281","PT084","B6","Exp1","depleted_no"
"PT084_P8_H06_S282","PT084_P8_H06_S282","PT084","B6","Exp1","depleted_no"
"PT084_P8_H07_S283","PT084_P8_H07_S283","PT084","B6","Exp1","depleted_no"
"PT084_P8_H08_S284","PT084_P8_H08_S284","PT084","B6","Exp1","depleted_no"
"PT084_P8_H11_S287","PT084_P8_H11_S287","PT084","B6","Exp1","depleted_no"
"PT126_P3_A01_S1","PT126_P3_A01_S1","PT126","B7","Exp3","depleted_yes"
"PT126_P3_A02_S2","PT126_P3_A02_S2","PT126","B7","Exp3","depleted_yes"
"PT126_P3_A03_S3","PT126_P3_A03_S3","PT126","B7","Exp3","depleted_yes"
"PT126_P3_A04_S4","PT126_P3_A04_S4","PT126","B7","Exp3","depleted_yes"
"PT126_P3_A05_S5","PT126_P3_A05_S5","PT126","B7","Exp3","depleted_yes"
"PT126_P3_A06_S6","PT126_P3_A06_S6","PT126","B7","Exp3","depleted_yes"
"PT126_P3_A07_S7","PT126_P3_A07_S7","PT126","B7","Exp3","depleted_yes"
"PT126_P3_A08_S8","PT126_P3_A08_S8","PT126","B7","Exp3","depleted_yes"
"PT126_P3_A09_S9","PT126_P3_A09_S9","PT126","B7","Exp3","depleted_yes"
"PT126_P3_A10_S10","PT126_P3_A10_S10","PT126","B7","Exp3","depleted_yes"
"PT126_P3_A11_S11","PT126_P3_A11_S11","PT126","B7","Exp3","depleted_yes"
"PT126_P3_A12_S12","PT126_P3_A12_S12","PT126","B7","Exp3","depleted_yes"
"PT126_P3_B01_S13","PT126_P3_B01_S13","PT126","B7","Exp3","depleted_yes"
"PT126_P3_B02_S14","PT126_P3_B02_S14","PT126","B7","Exp3","depleted_yes"
"PT126_P3_B04_S16","PT126_P3_B04_S16","PT126","B7","Exp3","depleted_yes"
"PT126_P3_B05_S17","PT126_P3_B05_S17","PT126","B7","Exp3","depleted_yes"
"PT126_P3_B06_S18","PT126_P3_B06_S18","PT126","B7","Exp3","depleted_yes"
"PT126_P3_B07_S19","PT126_P3_B07_S19","PT126","B7","Exp3","depleted_yes"
"PT126_P3_B09_S21","PT126_P3_B09_S21","PT126","B7","Exp3","depleted_yes"
"PT126_P3_B10_S22","PT126_P3_B10_S22","PT126","B7","Exp3","depleted_yes"
"PT126_P3_B11_S23","PT126_P3_B11_S23","PT126","B7","Exp3","depleted_yes"
"PT126_P3_B12_S24","PT126_P3_B12_S24","PT126","B7","Exp3","depleted_yes"
"PT126_P3_C01_S25","PT126_P3_C01_S25","PT126","B7","Exp3","depleted_yes"
"PT126_P3_C02_S26","PT126_P3_C02_S26","PT126","B7","Exp3","depleted_yes"
"PT126_P3_C03_S27","PT126_P3_C03_S27","PT126","B7","Exp3","depleted_yes"
"PT126_P3_C04_S28","PT126_P3_C04_S28","PT126","B7","Exp3","depleted_yes"
"PT126_P3_C05_S29","PT126_P3_C05_S29","PT126","B7","Exp3","depleted_yes"
"PT126_P3_C06_S30","PT126_P3_C06_S30","PT126","B7","Exp3","depleted_yes"
"PT126_P3_C07_S31","PT126_P3_C07_S31","PT126","B7","Exp3","depleted_yes"
"PT126_P3_C08_S32","PT126_P3_C08_S32","PT126","B7","Exp3","depleted_yes"
"PT126_P3_C09_S33","PT126_P3_C09_S33","PT126","B7","Exp3","depleted_yes"
"PT126_P3_C10_S34","PT126_P3_C10_S34","PT126","B7","Exp3","depleted_yes"
"PT126_P3_C11_S35","PT126_P3_C11_S35","PT126","B7","Exp3","depleted_yes"
"PT126_P3_C12_S36","PT126_P3_C12_S36","PT126","B7","Exp3","depleted_yes"
"PT126_P3_D01_S37","PT126_P3_D01_S37","PT126","B7","Exp3","depleted_yes"
"PT126_P3_D02_S38","PT126_P3_D02_S38","PT126","B7","Exp3","depleted_yes"
"PT126_P3_D04_S40","PT126_P3_D04_S40","PT126","B7","Exp3","depleted_yes"
"PT126_P3_D05_S41","PT126_P3_D05_S41","PT126","B7","Exp3","depleted_yes"
"PT126_P3_D06_S42","PT126_P3_D06_S42","PT126","B7","Exp3","depleted_yes"
"PT126_P3_D08_S44","PT126_P3_D08_S44","PT126","B7","Exp3","depleted_yes"
"PT126_P3_D09_S45","PT126_P3_D09_S45","PT126","B7","Exp3","depleted_yes"
"PT126_P3_D10_S46","PT126_P3_D10_S46","PT126","B7","Exp3","depleted_yes"
"PT126_P3_D11_S47","PT126_P3_D11_S47","PT126","B7","Exp3","depleted_yes"
"PT126_P3_D12_S48","PT126_P3_D12_S48","PT126","B7","Exp3","depleted_yes"
"PT126_P3_E01_S49","PT126_P3_E01_S49","PT126","B7","Exp3","depleted_yes"
"PT126_P3_E02_S50","PT126_P3_E02_S50","PT126","B7","Exp3","depleted_yes"
"PT126_P3_E03_S51","PT126_P3_E03_S51","PT126","B7","Exp3","depleted_yes"
"PT126_P3_E04_S52","PT126_P3_E04_S52","PT126","B7","Exp3","depleted_yes"
"PT126_P3_E05_S53","PT126_P3_E05_S53","PT126","B7","Exp3","depleted_yes"
"PT126_P3_E06_S54","PT126_P3_E06_S54","PT126","B7","Exp3","depleted_yes"
"PT126_P3_E08_S56","PT126_P3_E08_S56","PT126","B7","Exp3","depleted_yes"
"PT126_P3_E09_S57","PT126_P3_E09_S57","PT126","B7","Exp3","depleted_yes"
"PT126_P3_E12_S60","PT126_P3_E12_S60","PT126","B7","Exp3","depleted_yes"
"PT126_P3_F01_S61","PT126_P3_F01_S61","PT126","B7","Exp3","depleted_yes"
"PT126_P3_F02_S62","PT126_P3_F02_S62","PT126","B7","Exp3","depleted_yes"
"PT126_P3_F03_S63","PT126_P3_F03_S63","PT126","B7","Exp3","depleted_yes"
"PT126_P3_F04_S64","PT126_P3_F04_S64","PT126","B7","Exp3","depleted_yes"
"PT126_P3_F05_S65","PT126_P3_F05_S65","PT126","B7","Exp3","depleted_yes"
"PT126_P3_F06_S66","PT126_P3_F06_S66","PT126","B7","Exp3","depleted_yes"
"PT126_P3_F07_S67","PT126_P3_F07_S67","PT126","B7","Exp3","depleted_yes"
"PT126_P3_F08_S68","PT126_P3_F08_S68","PT126","B7","Exp3","depleted_yes"
"PT126_P3_F09_S69","PT126_P3_F09_S69","PT126","B7","Exp3","depleted_yes"
"PT126_P3_F10_S70","PT126_P3_F10_S70","PT126","B7","Exp3","depleted_yes"
"PT126_P3_F11_S71","PT126_P3_F11_S71","PT126","B7","Exp3","depleted_yes"
"PT126_P3_F12_S72","PT126_P3_F12_S72","PT126","B7","Exp3","depleted_yes"
"PT126_P3_G01_S73","PT126_P3_G01_S73","PT126","B7","Exp3","depleted_yes"
"PT126_P3_G02_S74","PT126_P3_G02_S74","PT126","B7","Exp3","depleted_yes"
"PT126_P3_G03_S75","PT126_P3_G03_S75","PT126","B7","Exp3","depleted_yes"
"PT126_P3_G04_S76","PT126_P3_G04_S76","PT126","B7","Exp3","depleted_yes"
"PT126_P3_G06_S78","PT126_P3_G06_S78","PT126","B7","Exp3","depleted_yes"
"PT126_P3_G07_S79","PT126_P3_G07_S79","PT126","B7","Exp3","depleted_yes"
"PT126_P3_G08_S80","PT126_P3_G08_S80","PT126","B7","Exp3","depleted_yes"
"PT126_P3_G09_S81","PT126_P3_G09_S81","PT126","B7","Exp3","depleted_yes"
"PT126_P3_G10_S82","PT126_P3_G10_S82","PT126","B7","Exp3","depleted_yes"
"PT126_P3_G11_S83","PT126_P3_G11_S83","PT126","B7","Exp3","depleted_yes"
"PT126_P3_G12_S84","PT126_P3_G12_S84","PT126","B7","Exp3","depleted_yes"
"PT126_P3_H01_S85","PT126_P3_H01_S85","PT126","B7","Exp3","depleted_yes"
"PT126_P3_H02_S86","PT126_P3_H02_S86","PT126","B7","Exp3","depleted_yes"
"PT126_P3_H03_S87","PT126_P3_H03_S87","PT126","B7","Exp3","depleted_yes"
"PT126_P3_H04_S88","PT126_P3_H04_S88","PT126","B7","Exp3","depleted_yes"
"PT126_P3_H05_S89","PT126_P3_H05_S89","PT126","B7","Exp3","depleted_yes"
"PT126_P3_H06_S90","PT126_P3_H06_S90","PT126","B7","Exp3","depleted_yes"
"PT126_P3_H07_S91","PT126_P3_H07_S91","PT126","B7","Exp3","depleted_yes"
"PT126_P3_H08_S92","PT126_P3_H08_S92","PT126","B7","Exp3","depleted_yes"
"PT126_P3_H09_S93","PT126_P3_H09_S93","PT126","B7","Exp3","depleted_yes"
"PT126_P3_H10_S94","PT126_P3_H10_S94","PT126","B7","Exp3","depleted_yes"
"PT126_P3_H11_S95","PT126_P3_H11_S95","PT126","B7","Exp3","depleted_yes"
"PT126_P3_H12_S96","PT126_P3_H12_S96","PT126","B7","Exp3","depleted_yes"
"PT039_P121_A01_S289","PT039_P121_A01_S289","PT039","B8","Exp2","depleted_yes"
"PT039_P121_A02_S290","PT039_P121_A02_S290","PT039","B8","Exp2","depleted_yes"
"PT039_P121_A03_S291","PT039_P121_A03_S291","PT039","B8","Exp2","depleted_yes"
"PT039_P121_A04_S292","PT039_P121_A04_S292","PT039","B8","Exp2","depleted_yes"
"PT039_P121_A05_S293","PT039_P121_A05_S293","PT039","B8","Exp2","depleted_yes"
"PT039_P121_A06_S294","PT039_P121_A06_S294","PT039","B8","Exp2","depleted_yes"
"PT039_P121_A07_S295","PT039_P121_A07_S295","PT039","B8","Exp2","depleted_yes"
"PT039_P121_A08_S296","PT039_P121_A08_S296","PT039","B8","Exp2","depleted_yes"
"PT039_P121_A09_S297","PT039_P121_A09_S297","PT039","B8","Exp2","depleted_yes"
"PT039_P121_A10_S298","PT039_P121_A10_S298","PT039","B8","Exp2","depleted_yes"
"PT039_P121_A11_S299","PT039_P121_A11_S299","PT039","B8","Exp2","depleted_yes"
"PT039_P121_A12_S300","PT039_P121_A12_S300","PT039","B8","Exp2","depleted_yes"
"PT039_P121_B01_S301","PT039_P121_B01_S301","PT039","B8","Exp2","depleted_yes"
"PT039_P121_B02_S302","PT039_P121_B02_S302","PT039","B8","Exp2","depleted_yes"
"PT039_P121_B03_S303","PT039_P121_B03_S303","PT039","B8","Exp2","depleted_yes"
"PT039_P121_B04_S304","PT039_P121_B04_S304","PT039","B8","Exp2","depleted_yes"
"PT039_P121_B05_S305","PT039_P121_B05_S305","PT039","B8","Exp2","depleted_yes"
"PT039_P121_B06_S306","PT039_P121_B06_S306","PT039","B8","Exp2","depleted_yes"
"PT039_P121_B07_S307","PT039_P121_B07_S307","PT039","B8","Exp2","depleted_yes"
"PT039_P121_B08_S308","PT039_P121_B08_S308","PT039","B8","Exp2","depleted_yes"
"PT039_P121_B09_S309","PT039_P121_B09_S309","PT039","B8","Exp2","depleted_yes"
"PT039_P121_B10_S310","PT039_P121_B10_S310","PT039","B8","Exp2","depleted_yes"
"PT039_P121_B11_S311","PT039_P121_B11_S311","PT039","B8","Exp2","depleted_yes"
"PT039_P121_B12_S312","PT039_P121_B12_S312","PT039","B8","Exp2","depleted_yes"
"PT039_P121_C01_S313","PT039_P121_C01_S313","PT039","B8","Exp2","depleted_yes"
"PT039_P121_C02_S314","PT039_P121_C02_S314","PT039","B8","Exp2","depleted_yes"
"PT039_P121_C03_S315","PT039_P121_C03_S315","PT039","B8","Exp2","depleted_yes"
"PT039_P121_C04_S316","PT039_P121_C04_S316","PT039","B8","Exp2","depleted_yes"
"PT039_P121_C05_S317","PT039_P121_C05_S317","PT039","B8","Exp2","depleted_yes"
"PT039_P121_C06_S318","PT039_P121_C06_S318","PT039","B8","Exp2","depleted_yes"
"PT039_P121_C08_S320","PT039_P121_C08_S320","PT039","B8","Exp2","depleted_yes"
"PT039_P121_C09_S321","PT039_P121_C09_S321","PT039","B8","Exp2","depleted_yes"
"PT039_P121_C10_S322","PT039_P121_C10_S322","PT039","B8","Exp2","depleted_yes"
"PT039_P121_C11_S323","PT039_P121_C11_S323","PT039","B8","Exp2","depleted_yes"
"PT039_P121_C12_S324","PT039_P121_C12_S324","PT039","B8","Exp2","depleted_yes"
"PT039_P121_D01_S325","PT039_P121_D01_S325","PT039","B8","Exp2","depleted_yes"
"PT039_P121_D02_S326","PT039_P121_D02_S326","PT039","B8","Exp2","depleted_yes"
"PT039_P121_D03_S327","PT039_P121_D03_S327","PT039","B8","Exp2","depleted_yes"
"PT039_P121_D04_S328","PT039_P121_D04_S328","PT039","B8","Exp2","depleted_yes"
"PT039_P121_D05_S329","PT039_P121_D05_S329","PT039","B8","Exp2","depleted_yes"
"PT039_P121_D07_S331","PT039_P121_D07_S331","PT039","B8","Exp2","depleted_yes"
"PT039_P121_D08_S332","PT039_P121_D08_S332","PT039","B8","Exp2","depleted_yes"
"PT039_P121_D09_S333","PT039_P121_D09_S333","PT039","B8","Exp2","depleted_yes"
"PT039_P121_D10_S334","PT039_P121_D10_S334","PT039","B8","Exp2","depleted_yes"
"PT039_P121_D11_S335","PT039_P121_D11_S335","PT039","B8","Exp2","depleted_yes"
"PT039_P121_D12_S336","PT039_P121_D12_S336","PT039","B8","Exp2","depleted_yes"
"PT039_P121_E01_S337","PT039_P121_E01_S337","PT039","B8","Exp2","depleted_yes"
"PT039_P121_E02_S338","PT039_P121_E02_S338","PT039","B8","Exp2","depleted_yes"
"PT039_P121_E03_S339","PT039_P121_E03_S339","PT039","B8","Exp2","depleted_yes"
"PT039_P121_E04_S340","PT039_P121_E04_S340","PT039","B8","Exp2","depleted_yes"
"PT039_P121_E05_S341","PT039_P121_E05_S341","PT039","B8","Exp2","depleted_yes"
"PT084_P121_E06_S342","PT084_P121_E06_S342","PT084","B8","Exp2","depleted_no"
"PT084_P121_E09_S345","PT084_P121_E09_S345","PT084","B8","Exp2","depleted_no"
"PT084_P121_E10_S346","PT084_P121_E10_S346","PT084","B8","Exp2","depleted_no"
"PT084_P121_E11_S347","PT084_P121_E11_S347","PT084","B8","Exp2","depleted_no"
"PT084_P121_E12_S348","PT084_P121_E12_S348","PT084","B8","Exp2","depleted_no"
"PT084_P121_F01_S349","PT084_P121_F01_S349","PT084","B8","Exp2","depleted_no"
"PT084_P121_F02_S350","PT084_P121_F02_S350","PT084","B8","Exp2","depleted_no"
"PT084_P121_F03_S351","PT084_P121_F03_S351","PT084","B8","Exp2","depleted_no"
"PT084_P121_F04_S352","PT084_P121_F04_S352","PT084","B8","Exp2","depleted_no"
"PT084_P121_F05_S353","PT084_P121_F05_S353","PT084","B8","Exp2","depleted_no"
"PT084_P121_F06_S354","PT084_P121_F06_S354","PT084","B8","Exp2","depleted_no"
"PT084_P121_F07_S355","PT084_P121_F07_S355","PT084","B8","Exp2","depleted_no"
"PT084_P121_F08_S356","PT084_P121_F08_S356","PT084","B8","Exp2","depleted_no"
"PT084_P121_F09_S357","PT084_P121_F09_S357","PT084","B8","Exp2","depleted_no"
"PT084_P121_F11_S359","PT084_P121_F11_S359","PT084","B8","Exp2","depleted_no"
"PT084_P121_G01_S361","PT084_P121_G01_S361","PT084","B8","Exp2","depleted_no"
"PT084_P121_G02_S362","PT084_P121_G02_S362","PT084","B8","Exp2","depleted_no"
"PT084_P121_G04_S364","PT084_P121_G04_S364","PT084","B8","Exp2","depleted_no"
"PT084_P121_G05_S365","PT084_P121_G05_S365","PT084","B8","Exp2","depleted_no"
"PT084_P121_G06_S366","PT084_P121_G06_S366","PT084","B8","Exp2","depleted_no"
"PT084_P121_G08_S368","PT084_P121_G08_S368","PT084","B8","Exp2","depleted_no"
"PT084_P121_G11_S371","PT084_P121_G11_S371","PT084","B8","Exp2","depleted_no"
"PT084_P121_G12_S372","PT084_P121_G12_S372","PT084","B8","Exp2","depleted_no"
"PT084_P121_H01_S373","PT084_P121_H01_S373","PT084","B8","Exp2","depleted_no"
"PT084_P121_H02_S374","PT084_P121_H02_S374","PT084","B8","Exp2","depleted_no"
"PT084_P121_H03_S375","PT084_P121_H03_S375","PT084","B8","Exp2","depleted_no"
"PT084_P121_H05_S377","PT084_P121_H05_S377","PT084","B8","Exp2","depleted_no"
"PT084_P121_H06_S378","PT084_P121_H06_S378","PT084","B8","Exp2","depleted_no"
"PT084_P121_H07_S379","PT084_P121_H07_S379","PT084","B8","Exp2","depleted_no"
"PT084_P121_H08_S380","PT084_P121_H08_S380","PT084","B8","Exp2","depleted_no"
"PT084_P121_H09_S381","PT084_P121_H09_S381","PT084","B8","Exp2","depleted_no"
"PT084_P121_H10_S382","PT084_P121_H10_S382","PT084","B8","Exp2","depleted_no"
"PT084_P121_H12_S384","PT084_P121_H12_S384","PT084","B8","Exp2","depleted_no"
"PT039_P10_A01_S193","PT039_P10_A01_S193","PT039","B9","Exp2","depleted_no"
"PT039_P10_A02_S194","PT039_P10_A02_S194","PT039","B9","Exp2","depleted_no"
"PT039_P10_A03_S195","PT039_P10_A03_S195","PT039","B9","Exp2","depleted_no"
"PT039_P10_A04_S196","PT039_P10_A04_S196","PT039","B9","Exp2","depleted_no"
"PT039_P10_A05_S197","PT039_P10_A05_S197","PT039","B9","Exp2","depleted_no"
"PT039_P10_A06_S198","PT039_P10_A06_S198","PT039","B9","Exp2","depleted_no"
"PT039_P10_A07_S199","PT039_P10_A07_S199","PT039","B9","Exp2","depleted_no"
"PT039_P10_A08_S200","PT039_P10_A08_S200","PT039","B9","Exp2","depleted_no"
"PT039_P10_A09_S201","PT039_P10_A09_S201","PT039","B9","Exp2","depleted_no"
"PT039_P10_A11_S203","PT039_P10_A11_S203","PT039","B9","Exp2","depleted_no"
"PT039_P10_A12_S204","PT039_P10_A12_S204","PT039","B9","Exp2","depleted_no"
"PT039_P10_B01_S205","PT039_P10_B01_S205","PT039","B9","Exp2","depleted_no"
"PT039_P10_B02_S206","PT039_P10_B02_S206","PT039","B9","Exp2","depleted_no"
"PT039_P10_B03_S207","PT039_P10_B03_S207","PT039","B9","Exp2","depleted_no"
"PT039_P10_B04_S208","PT039_P10_B04_S208","PT039","B9","Exp2","depleted_no"
"PT039_P10_B05_S209","PT039_P10_B05_S209","PT039","B9","Exp2","depleted_no"
"PT039_P10_B06_S210","PT039_P10_B06_S210","PT039","B9","Exp2","depleted_no"
"PT039_P10_B07_S211","PT039_P10_B07_S211","PT039","B9","Exp2","depleted_no"
"PT039_P10_B08_S212","PT039_P10_B08_S212","PT039","B9","Exp2","depleted_no"
"PT039_P10_B09_S213","PT039_P10_B09_S213","PT039","B9","Exp2","depleted_no"
"PT039_P10_B10_S214","PT039_P10_B10_S214","PT039","B9","Exp2","depleted_no"
"PT039_P10_B11_S215","PT039_P10_B11_S215","PT039","B9","Exp2","depleted_no"
"PT039_P10_B12_S216","PT039_P10_B12_S216","PT039","B9","Exp2","depleted_no"
"PT039_P10_C02_S218","PT039_P10_C02_S218","PT039","B9","Exp2","depleted_no"
"PT039_P10_C03_S219","PT039_P10_C03_S219","PT039","B9","Exp2","depleted_no"
"PT039_P10_C04_S220","PT039_P10_C04_S220","PT039","B9","Exp2","depleted_no"
"PT039_P10_C05_S221","PT039_P10_C05_S221","PT039","B9","Exp2","depleted_no"
"PT039_P10_C06_S222","PT039_P10_C06_S222","PT039","B9","Exp2","depleted_no"
"PT039_P10_C08_S224","PT039_P10_C08_S224","PT039","B9","Exp2","depleted_no"
"PT039_P10_C09_S225","PT039_P10_C09_S225","PT039","B9","Exp2","depleted_no"
"PT039_P10_C10_S226","PT039_P10_C10_S226","PT039","B9","Exp2","depleted_no"
"PT039_P10_C11_S227","PT039_P10_C11_S227","PT039","B9","Exp2","depleted_no"
"PT039_P10_C12_S228","PT039_P10_C12_S228","PT039","B9","Exp2","depleted_no"
"PT039_P10_D01_S229","PT039_P10_D01_S229","PT039","B9","Exp2","depleted_no"
"PT039_P10_D03_S231","PT039_P10_D03_S231","PT039","B9","Exp2","depleted_no"
"PT039_P10_D04_S232","PT039_P10_D04_S232","PT039","B9","Exp2","depleted_no"
"PT039_P10_D05_S233","PT039_P10_D05_S233","PT039","B9","Exp2","depleted_no"
"PT039_P10_D06_S234","PT039_P10_D06_S234","PT039","B9","Exp2","depleted_no"
"PT039_P10_D08_S236","PT039_P10_D08_S236","PT039","B9","Exp2","depleted_no"
"PT039_P10_D09_S237","PT039_P10_D09_S237","PT039","B9","Exp2","depleted_no"
"PT039_P10_D10_S238","PT039_P10_D10_S238","PT039","B9","Exp2","depleted_no"
"PT039_P10_D11_S239","PT039_P10_D11_S239","PT039","B9","Exp2","depleted_no"
"PT039_P10_D12_S240","PT039_P10_D12_S240","PT039","B9","Exp2","depleted_no"
"PT039_P10_E01_S241","PT039_P10_E01_S241","PT039","B9","Exp2","depleted_no"
"PT039_P10_E02_S242","PT039_P10_E02_S242","PT039","B9","Exp2","depleted_no"
"PT039_P10_E03_S243","PT039_P10_E03_S243","PT039","B9","Exp2","depleted_no"
"PT039_P10_E04_S244","PT039_P10_E04_S244","PT039","B9","Exp2","depleted_no"
"PT039_P10_E06_S246","PT039_P10_E06_S246","PT039","B9","Exp2","depleted_no"
"PT039_P10_E07_S247","PT039_P10_E07_S247","PT039","B9","Exp2","depleted_no"
"PT039_P10_E08_S248","PT039_P10_E08_S248","PT039","B9","Exp2","depleted_no"
"PT039_P10_E09_S249","PT039_P10_E09_S249","PT039","B9","Exp2","depleted_no"
"PT039_P10_E11_S251","PT039_P10_E11_S251","PT039","B9","Exp2","depleted_no"
"PT039_P10_E12_S252","PT039_P10_E12_S252","PT039","B9","Exp2","depleted_no"
"PT039_P10_F02_S254","PT039_P10_F02_S254","PT039","B9","Exp2","depleted_no"
"PT039_P10_F03_S255","PT039_P10_F03_S255","PT039","B9","Exp2","depleted_no"
"PT039_P10_F04_S256","PT039_P10_F04_S256","PT039","B9","Exp2","depleted_no"
"PT039_P10_F05_S257","PT039_P10_F05_S257","PT039","B9","Exp2","depleted_no"
"PT039_P10_F06_S258","PT039_P10_F06_S258","PT039","B9","Exp2","depleted_no"
"PT039_P10_F07_S259","PT039_P10_F07_S259","PT039","B9","Exp2","depleted_no"
"PT039_P10_F08_S260","PT039_P10_F08_S260","PT039","B9","Exp2","depleted_no"
"PT039_P10_F09_S261","PT039_P10_F09_S261","PT039","B9","Exp2","depleted_no"
"PT039_P10_F11_S263","PT039_P10_F11_S263","PT039","B9","Exp2","depleted_no"
"PT039_P10_F12_S264","PT039_P10_F12_S264","PT039","B9","Exp2","depleted_no"
"PT039_P10_G01_S265","PT039_P10_G01_S265","PT039","B9","Exp2","depleted_no"
"PT039_P10_G02_S266","PT039_P10_G02_S266","PT039","B9","Exp2","depleted_no"
"PT039_P10_G03_S267","PT039_P10_G03_S267","PT039","B9","Exp2","depleted_no"
"PT039_P10_G04_S268","PT039_P10_G04_S268","PT039","B9","Exp2","depleted_no"
"PT039_P10_G06_S270","PT039_P10_G06_S270","PT039","B9","Exp2","depleted_no"
